Function Stack                                                                                               CPU Time:Total  CPU Time:Effective Time:Total  CPU Time:Spin Time:Total  CPU Time:Overhead Time:Total  CPU Time:Self  CPU Time:Effective Time:Self  CPU Time:Spin Time:Self  CPU Time:Overhead Time:Self  Module            Function (Full)                                                                                                                 Source File                Start Address
-----------------------------------------------------------------------------------------------------------  --------------  -----------------------------  ------------------------  ----------------------------  -------------  ----------------------------  -----------------------  ---------------------------  ----------------  ------------------------------------------------------------------------------------------------------------------------------  -------------------------  -------------
       _M_manager                                                                                                    0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_manager                                                                                                                      std_function.h             0xb631a0     
        _M_manager                                                                                                   0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_manager                                                                                                                      std_function.h             0xb631b2     
         _M_init_functor<const main(int, char**)::<lambda()>&>                                                       0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_init_functor<const main(int, char**)::<lambda()>&>                                                                           std_function.h             0xb63203     
          _M_create<const main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_create<const main(int, char**)::<lambda()>&>                                                                                 std_function.h             0xb63203     
           operator new                                                                                              0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  libstdc++.so.6    operator new(unsigned long)                                                                                                     new_op.cc                  0xa9549      
    Set_Partial_Array<int*>                                                                                          0.024%                         0.024%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  Set_Partial_Array<int*>(int*, int*, unsigned long)                                                                              cuda_lib_particle_m_1.hxx  0x5068e1     
     __memmove_avx_unaligned_erms                                                                                    0.024%                         0.024%                                                                 0.020s                        0.020s                       0s                           0s  libc.so.6         __memmove_avx_unaligned_erms                                                                                                    [Unknown]                  0xcee30      
    munmap                                                                                                           0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  libc.so.6         munmap                                                                                                                          [Unknown]                  0x399e0      
    Cast2Int<double>                                                                                                 0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  Cast2Int<double>(double)                                                                                                        cuda_lib_particle_m_1.hxx  0x50689b     
    Set_Partial_Array<int*>                                                                                          0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  Set_Partial_Array<int*>(int*, int*, unsigned long)                                                                              cuda_lib_particle_m_1.hxx  0x5065ad     
     __memmove_avx_unaligned_erms                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  libc.so.6         __memmove_avx_unaligned_erms                                                                                                    [Unknown]                  0xcee30      
    Set_Partial_Array<int*>                                                                                          0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  Set_Partial_Array<int*>(int*, int*, unsigned long)                                                                              cuda_lib_particle_m_1.hxx  0x506910     
     __memmove_avx_unaligned_erms                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  libc.so.6         __memmove_avx_unaligned_erms                                                                                                    [Unknown]                  0xcee30      
    Set_Partial_Array<int*>                                                                                          0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  Set_Partial_Array<int*>(int*, int*, unsigned long)                                                                              cuda_lib_particle_m_1.hxx  0x506772     
     __memmove_avx_unaligned_erms                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  libc.so.6         __memmove_avx_unaligned_erms                                                                                                    [Unknown]                  0xcee30      
